#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,HaerteTest @UCqsS8fU6yVxrJr5y_CoUn3w,19.9M,-,Germany,,6M,HaerteTest,19600000,3304505398,1538
2,Kinder Spielzeug Kanal @UCVEDZVtA5NUtjxSXHjtvkag,19.3M,-,Germany,,5.8M,Kinder Spielzeug Kanal,25800000,13208418451,1192
3,Ice Cream Rolls @UCAon55hNT6ESbdQ5y1hRWTA,12.2M,-,Germany,,3.7M,Ice Cream Rolls,12300000,1666670334,2354
4,Pamela Reif @UChVRfsT_ASBZk10o0An7Ucg,8.8M,0.10%,Germany,Fitness,2.6M,Pamela Reif,9900000,1909231872,263
5,freekickerz @UCC9h3H-sGrvqd2otknZntsQ,8.7M,-,Germany,,2.6M,freekickerz,8580000,2434359844,1628
6,Dhruv Rathee @UC-CSyyi47VX1lD9zyeABW3w,8.1M,2.50%,Germany,,2.4M,Dhruv Rathee,20100000,2721777362,617
7,The Voice Kids @UCsaKxIA9snv1Wrh_sw1DFvg,7.3M,-,Germany,News,2.2M,The Voice Kids,8400000,2858464032,1595
8,Rammstein Official @UCYp3rk70ACGXQ4gFAiMr1SQ,7.1M,-,Germany,,2.1M,Rammstein Official,8090000,5871678633,157
9,German Spidey @germanspidey,6.6M,0.20%,Germany,,2M,German Spidey,8620000,9295995297,1341
10,COLORS @UC2Qw1dzXDBAZPwS7zm37g8g,6.2M,-,Germany,,1.9M,COLORS,7490000,2921173338,1022
11,Kontor.TV @UCb3tJ5NKw7mDxyaQ73mwbRg,6.1M,-,Germany,,1.8M,Kontor.TV,6250000,6951237925,2603
12,TheFatRat @UCa_UMppcMsHIzb5LDx1u9zQ,6.1M,1.10%,Germany,,1.8M,TheFatRat,6450000,2015229869,118
13,Julien Bam @UCTXeJ33DzXI2veQpKfrvaYw,6M,-,Germany,,1.8M,Julien Bam,6160000,1657242713,244
14,BibisBeautyPalace @UCHfdTAyg5t4mb1G-3rJ6QsQ,5.9M,0.30%,Germany,,1.8M,BibisBeautyPalace,5800000,2883792691,942
15,TikTokTunes @UC9EgazNjxm-_3eydGQR45rQ,5.7M,-,Germany,,1.7M,TikTokTunes,6750000,4421576853,1107
16,briQle @UCrT0Q_oAAv5xbHB8LrUwz_g,5.5M,-,Germany,,1.6M,briQle,5630000,1400998713,119
17,Ali Omar @UCJhAZAK6t92znGV9tMuy7eQ,5.2M,-,Germany,,1.6M,Ali Omar,5840000,681877253,853
18,Unique Vibes @UCn7Z0uhzGS1KjnO-sWml_dw,5.2M,-,Germany,,1.6M,Unique Vibes,5800000,3472026594,1166
19,laserluca @UCmxc6kXbU1J-0pR2F3wIx9A,4.8M,1.80%,Germany,,1.4M,laserluca,5090000,3292269908,3707
20,DW Documental @UCQ1GpKa15ulyoQuxz7H4rng,4.6M,-,Germany,,1.4M,DW Documental,5370000,1266048977,610
21,DW Documentary @UCW39zufHfsuGgpLviKh297Q,4.5M,-,Germany,Travel,1.4M,DW Documentary,5560000,827586066,1114
22,clips mix @UCogFmwd_6QgQ4qZtU2gDDVQ,4.5M,-,Germany,,1.3M,clips mix,4410000,2902099696,5631
23,DW News @UCknLrEdhRCp1aegoMqRaCZg,4.4M,-,Germany,,1.3M,DW News,5160000,2342706732,34320
24,Majestic Casual @UCXIyz409s7bNWVcM-vjfdVA,4.3M,-,Germany,,1.3M,Majestic Casual,4280000,2211185585,2435
25,ArkivaShqip @UCUd0P7GJ_6UiLcIpfKH9sCQ,4.1M,-,Germany,,1.2M,ArkivaShqip,4500000,7430590097,8831
26,Calisthenicmovement @UCZIIRX8rkNjVpP-oLMHpeDw,4.1M,-,Germany,,1.2M,Calisthenicmovement,4230000,527605211,349
27,Dagi Bee @UCpZ_DI-ZugwMzXcqccaTVsg,4M,-,Germany,,1.2M,Dagi Bee,3920000,1071589974,661
28,Free Documentary @UCijcd0GR0fkxCAZwkiuWqtQ,4M,-,Germany,,1.2M,Free Documentary,4920000,1081258822,749
29,ungespielt @UCcn4UOBvB0W2HjCcLFLuu2w,3.8M,0.10%,Germany,,1.1M,ungespielt,3700000,2163036884,4953
30,Lous Reaction @UCmloGqUEraKu2IGQ2SXZ4Rg,3.8M,41%,Germany,,1.1M,Lous Reaction,105,29763,81
31,DW हिन्दी @UCc7pPNFBvIhI4iV7m8plJuA,3.7M,-,Germany,,1.1M,DW हिन्दी,4070000,990539950,6041
32,Freshtorge @UCr3LVdbgOcW4NZEpo0VHnxw,3.7M,0.60%,Germany,,1.1M,Freshtorge,3760000,1675621258,957
33,Ikram Bellanova @UCkLVM-72DqCDi5psyXmeMag,3.7M,-,Germany,Beauty,1.1M,Ikram Bellanova,3650000,482169139,402
34,Robin Schulz @UCLVVBWrp9jw4-SYUoU42hcg,3.6M,-,Germany,Music,1.1M,Robin Schulz,3700000,4062846056,449
35,Bundesliga @UC6UL29enLNe4mqwTfAyeNuw,3.6M,-,Germany,,1.1M,Bundesliga,4680000,2304560116,9598
36,SkyBek craft channel @UCCohOo_tNjrR5JxgLjOb25A,3.6M,-,Germany,,1.1M,SkyBek craft channel,3530000,595427093,73
37,Essen Rezepte @UCNh35NtktYxumhyASfnF1dg,3.5M,-,Germany,Food and Drink,1.1M,Essen Rezepte,4960000,1013430331,411
38,EUROPA Kinderprogramm @UCxkQwIshySkwOqEuZ28o8KA,3.5M,-,Germany,,1.1M,EUROPA Kinderprogramm,3490000,1416460399,384
39,LEO ROJAS - official @UCzFnloeM9qA1j7fuJ-7iT3g,3.4M,0.10%,Germany,,1M,LEO ROJAS - official,3670000,1027625511,36
40,MERO @UCeKMrU5GECquXiJl6tnTgPA,3.3M,3%,Germany,,975K,MERO,234000,15731957,126
41,Felix von der Laden @UChr1sKJ27Fr6WZxAlusbo_w,3.2M,0.10%,Germany,,966K,Felix von der Laden,3200000,1457973593,3995
42,AirwaveMusicTV @UCwIgPuUJXuf2nY-nKsEvLOg,3.2M,-,Germany,,966K,AirwaveMusicTV,3330000,1318688033,3991
43,BBlocks @UCN-IThhgJxrO07kNEqLnpRw,3.2M,-,Germany,,963K,BBlocks,3590000,1101352614,146
44,Merry Margo Live @UCry39FTohgDCCSR9pVyFDzg,3.2M,-,Germany,,963K,Merry Margo Live,3480000,1414084622,482
45,Galileo @UC1XrG1M_hw8103zO2x-oivg,3.2M,-,Germany,,957K,Galileo,3240000,3060023212,6266
46,Keluarga Bahagia Di Jerman @keluargabahagiadijerman,3.1M,0.50%,Germany,,939K,Keluarga Bahagia Di Jerman,3750000,692790753,876
